Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:262710	HPO	Feb 17, 2009	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0000821	Hypothyroidism			IEA	IEA							OMIM:262710	HPO	Feb 17, 2009	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0000839	Pituitary dwarfism			IEA	IEA							OMIM:262710	HPO	Feb 17, 2009	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0001510	Growth delay			IEA	IEA							OMIM:262710	HPO	Feb 17, 2009	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0002690	Large sella turcica			IEA	IEA							OMIM:262710	HPO	Feb 17, 2009	
OMIM:262710	PITUITARY DWARFISM WITH LARGE SELLA TURCICA					HP:0000824	Growth hormone deficiency			TAS	TAS							OMIM:262710	HPO	Apr 18, 2015	
